位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,千萬位percentile,位階名次%
222,一對,77+532,384,84865,85248,885393.84,4.1847
223,一對,77+542,384,85249,85632,889400.1,4.2036
224,一對,77+543,384,85633,86016,893406.36,4.2224
225,一對,77+632,384,86017,86400,897412.62,4.2413
226,一對,77+642,384,86401,86784,901418.88,4.2601
227,一對,77+643,384,86785,87168,905425.14,4.279
228,一對,77+652,384,87169,87552,909431.4,4.2978
229,一對,77+653,384,87553,87936,913437.66,4.3167
230,一對,77+654,384,87937,88320,917443.92,4.3355
231,一對,77+832,384,88321,88704,921450.18,4.3544
232,一對,77+842,384,88705,89088,925456.44,4.3732
233,一對,77+843,384,89089,89472,929462.7,4.3921
234,一對,77+852,384,89473,89856,933468.96,4.4109
235,一對,77+853,384,89857,90240,937475.22,4.4298
236,一對,77+854,384,90241,90624,941481.48,4.4486
237,一對,77+862,384,90625,91008,945487.74,4.4675
238,一對,77+863,384,91009,91392,949494.0,4.4863
239,一對,77+864,384,91393,91776,953500.26,4.5052
240,一對,77+865,384,91777,92160,957506.52,4.524
241,一對,77+932,384,92161,92544,961512.78,4.5429
242,一對,77+942,384,92545,92928,965519.04,4.5617
243,一對,77+943,384,92929,93312,969525.3,4.5806
244,一對,77+952,384,93313,93696,973531.56,4.5994
245,一對,77+953,384,93697,94080,977537.82,4.6183
246,一對,77+954,384,94081,94464,981544.08,4.6371
247,一對,77+962,384,94465,94848,985550.34,4.656
248,一對,77+963,384,94849,95232,989556.6,4.6748
249,一對,77+964,384,95233,95616,993562.86,4.6937
250,一對,77+965,384,95617,96000,997569.12,4.7125
251,一對,77+982,384,96001,96384,1001575.38,4.7314
252,一對,77+983,384,96385,96768,1005581.64,4.7502
253,一對,77+984,384,96769,97152,1009587.9,4.7691
254,一對,77+985,384,97153,97536,1013594.16,4.7879
255,一對,77+986,384,97537,97920,1017600.42,4.8068
256,一對,77+1032,384,97921,98304,1021606.68,4.8256
257,一對,77+1042,384,98305,98688,1025612.94,4.8445
258,一對,77+1043,384,98689,99072,1029619.2,4.8633
259,一對,77+1052,384,99073,99456,1033625.46,4.8822
260,一對,77+1053,384,99457,99840,1037631.72,4.901
261,一對,77+1054,384,99841,100224,1041637.98,4.9199
262,一對,77+1062,384,100225,100608,1045644.24,4.9387
263,一對,77+1063,384,100609,100992,1049650.5,4.9576
264,一對,77+1064,384,100993,101376,1053656.76,4.9764
265,一對,77+1065,384,101377,101760,1057663.02,4.9953
266,一對,77+1082,384,101761,102144,1061669.27,5.0141
267,一對,77+1083,384,102145,102528,1065675.53,5.033
268,一對,77+1084,384,102529,102912,1069681.79,5.0518
269,一對,77+1085,384,102913,103296,1073688.05,5.0707
270,一對,77+1086,384,103297,103680,1077694.31,5.0895
271,一對,77+1092,384,103681,104064,1081700.57,5.1084
272,一對,77+1093,384,104065,104448,1085706.83,5.1272
273,一對,77+1094,384,104449,104832,1089713.09,5.1461
274,一對,77+1095,384,104833,105216,1093719.35,5.1649
275,一對,77+1096,384,105217,105600,1097725.61,5.1838
276,一對,77+1098,384,105601,105984,1101731.87,5.2026
277,一對,77+J32,384,105985,106368,1105738.13,5.2215
278,一對,77+J42,384,106369,106752,1109744.39,5.2403
279,一對,77+J43,384,106753,107136,1113750.65,5.2592
280,一對,77+J52,384,107137,107520,1117756.91,5.278
281,一對,77+J53,384,107521,107904,1121763.17,5.2969
282,一對,77+J54,384,107905,108288,1125769.43,5.3157
283,一對,77+J62,384,108289,108672,1129775.69,5.3346
284,一對,77+J63,384,108673,109056,1133781.95,5.3534
285,一對,77+J64,384,109057,109440,1137788.21,5.3723
286,一對,77+J65,384,109441,109824,1141794.47,5.3911
287,一對,77+J82,384,109825,110208,1145800.73,5.41
288,一對,77+J83,384,110209,110592,1149806.99,5.4288
289,一對,77+J84,384,110593,110976,1153813.25,5.4477
290,一對,77+J85,384,110977,111360,1157819.51,5.4665
291,一對,77+J86,384,111361,111744,1161825.77,5.4854
292,一對,77+J92,384,111745,112128,1165832.03,5.5042
293,一對,77+J93,384,112129,112512,1169838.29,5.5231
294,一對,77+J94,384,112513,112896,1173844.55,5.5419
295,一對,77+J95,384,112897,113280,1177850.81,5.5608
296,一對,77+J96,384,113281,113664,1181857.07,5.5796
297,一對,77+J98,384,113665,114048,1185863.33,5.5985
298,一對,77+J102,384,114049,114432,1189869.59,5.6173
299,一對,77+J103,384,114433,114816,1193875.85,5.6362
300,一對,77+J104,384,114817,115200,1197882.11,5.655
301,一對,77+J105,384,115201,115584,1201888.37,5.6739
302,一對,77+J106,384,115585,115968,1205894.63,5.6927
303,一對,77+J108,384,115969,116352,1209900.89,5.7116
304,一對,77+J109,384,116353,116736,1213907.15,5.7304
305,一對,77+Q32,384,116737,117120,1217913.41,5.7493
306,一對,77+Q42,384,117121,117504,1221919.67,5.7681
307,一對,77+Q43,384,117505,117888,1225925.93,5.787
308,一對,77+Q52,384,117889,118272,1229932.19,5.8058
309,一對,77+Q53,384,118273,118656,1233938.45,5.8247
310,一對,77+Q54,384,118657,119040,1237944.71,5.8435
311,一對,77+Q62,384,119041,119424,1241950.97,5.8624
312,一對,77+Q63,384,119425,119808,1245957.22,5.8812
313,一對,77+Q64,384,119809,120192,1249963.48,5.9001
314,一對,77+Q65,384,120193,120576,1253969.74,5.9189
315,一對,77+Q82,384,120577,120960,1257976.0,5.9378
316,一對,77+Q83,384,120961,121344,1261982.26,5.9566
317,一對,77+Q84,384,121345,121728,1265988.52,5.9755
318,一對,77+Q85,384,121729,122112,1269994.78,5.9943
319,一對,77+Q86,384,122113,122496,1274001.04,6.0132
320,一對,77+Q92,384,122497,122880,1278007.3,6.032
321,一對,77+Q93,384,122881,123264,1282013.56,6.0509
322,一對,77+Q94,384,123265,123648,1286019.82,6.0697
323,一對,77+Q95,384,123649,124032,1290026.08,6.0886
324,一對,77+Q96,384,124033,124416,1294032.34,6.1074
